download_date,project_name,project_version,file_downloads_count
2023-04-07,acryl-datahub-airflow-plugin,0.10.1.1,4
2023-04-07,acryl-datahub-airflow-plugin,0.10.1.2rc2,2
2023-04-07,acryl-datahub-airflow-plugin,0.10.1.2rc3,2
2023-04-07,acryl-datahub-airflow-plugin,0.10.1.2rc4,2
2023-04-07,acryl-datahub-airflow-plugin,0.8.43.5,2
2023-04-07,airflow-clickhouse-plugin,0.5.7.post1,2
2023-04-07,airflow-clickhouse-plugin,0.8.2,4
2023-04-07,airflow-code-editor,3.2.1,6
2023-04-07,airflow-code-editor,5.2.1,1
2023-04-07,airflow-code-editor,7.2.1,2
2023-04-07,airflow-dbt,0.4.0,2
2023-04-07,airflow-dbt-python,0.14.5,2
2023-04-07,airflow-exporter,1.3.0,10
2023-04-07,airflow-exporter,1.3.2,3
2023-04-07,airflow-exporter,1.5.3,6
2023-04-07,airflow-kubernetes-job-operator-latest,0.0.7,1
2023-04-07,airflow-multi-dagrun,1.2,1
2023-04-07,airflow-multi-dagrun,2.3.1,2
2023-04-07,airflow-notify-sns,0.0.2,3
2023-04-07,airflow-prometheus-exporter,1.0.3,6
2023-04-07,airflow-prometheus-exporter,1.0.4,2
2023-04-07,airflow-provider-fivetran,1.0.1,5
2023-04-07,airflow-provider-fivetran,1.1.4,8
2023-04-07,airflow-provider-great-expectations,0.0.8,3
2023-04-07,airflow-provider-great-expectations,0.2.6,3
2023-04-07,airflow-provider-kafka,0.2.2,1
2023-04-07,airflow-provider-toloka-admin,66.0.2,1
2023-04-07,airflow-provider-vertex-ai,0.0.0a0,2
2023-04-07,airflow-providers-siasg,1.0.10,2
2023-04-07,airflow-providers-tesouro-gerencial,1.3.0,1
2023-04-07,airflow-providers-zeppelin,0.0.1,1
2023-04-07,airflow-snapshot-test,0.1.10,2
2023-04-07,airflow-sops-secrets-backend,0.0.2,2
2023-04-07,airflow-spark-k8s,0.1.4,2
2023-04-07,airflow-utils,0.3,1
2023-04-07,apache-airflow,1.10.12,8
2023-04-07,apache-airflow,1.10.14,1
2023-04-07,apache-airflow,1.10.15,29
2023-04-07,apache-airflow,1.10.5,2
2023-04-07,apache-airflow,1.10.7,1
2023-04-07,apache-airflow,2.0.2,5
2023-04-07,apache-airflow,2.1.4,1
2023-04-07,apache-airflow,2.2.0,5
2023-04-07,apache-airflow,2.2.1,2
2023-04-07,apache-airflow,2.2.2,12
2023-04-07,apache-airflow,2.2.3,5
2023-04-07,apache-airflow,2.2.4,5
2023-04-07,apache-airflow,2.2.5,15
2023-04-07,apache-airflow,2.3.0,12
2023-04-07,apache-airflow,2.3.1,11
2023-04-07,apache-airflow,2.3.2,17
2023-04-07,apache-airflow,2.3.3,18
2023-04-07,apache-airflow,2.3.4,18
2023-04-07,apache-airflow,2.4.0,20
2023-04-07,apache-airflow,2.4.1,19
2023-04-07,apache-airflow,2.4.2,18
2023-04-07,apache-airflow,2.4.3,83
2023-04-07,apache-airflow,2.5.0,23
2023-04-07,apache-airflow,2.5.1,24
2023-04-07,apache-airflow,2.5.2,21
2023-04-07,apache-airflow,2.5.3,155
2023-04-07,apache-airflow-backport-providers-amazon,2020.11.23,9
2023-04-07,apache-airflow-backport-providers-amazon,2021.2.5,9
2023-04-07,apache-airflow-backport-providers-amazon,2021.3.3,16
2023-04-07,apache-airflow-backport-providers-apache-livy,2020.6.24,9
2023-04-07,apache-airflow-backport-providers-apache-spark,2020.6.24,9
2023-04-07,apache-airflow-backport-providers-cncf-kubernetes,2021.3.3,9
2023-04-07,apache-airflow-backport-providers-docker,2020.6.24,9
2023-04-07,apache-airflow-backport-providers-email,2020.6.24,2
2023-04-07,apache-airflow-backport-providers-google,2021.3.3,1
2023-04-07,apache-airflow-backport-providers-http,2020.6.24,9
2023-04-07,apache-airflow-backport-providers-http,2021.4.10,3
2023-04-07,apache-airflow-backport-providers-microsoft-azure,2021.2.5,3
2023-04-07,apache-airflow-backport-providers-microsoft-azure,2021.3.13,1
2023-04-07,apache-airflow-backport-providers-pagerduty,2020.10.29,3
2023-04-07,apache-airflow-backport-providers-slack,2021.3.3,3
2023-04-07,apache-airflow-backport-providers-snowflake,2021.2.5,6
2023-04-07,apache-airflow-backport-providers-snowflake,2021.3.13,1
2023-04-07,apache-airflow-backport-providers-ssh,2021.3.3,4
2023-04-07,apache-airflow-providers-airbyte,2.1.1,2
2023-04-07,apache-airflow-providers-airbyte,3.1.0,2
2023-04-07,apache-airflow-providers-airbyte,3.2.1,7
2023-04-07,apache-airflow-providers-alibaba,1.0.0,2
2023-04-07,apache-airflow-providers-amazon,1.2.0,2
2023-04-07,apache-airflow-providers-amazon,1.3.0,2
2023-04-07,apache-airflow-providers-amazon,1.4.0,3
2023-04-07,apache-airflow-providers-amazon,2.2.0,3
2023-04-07,apache-airflow-providers-amazon,2.4.0,6
2023-04-07,apache-airflow-providers-amazon,3.0.0,2
2023-04-07,apache-airflow-providers-amazon,3.2.0,3
2023-04-07,apache-airflow-providers-amazon,3.4.0,1
